Symbol,Cusip,MarketCap,P-ERatio,52-Week Change,AvgVolume,EPS,Beta,MarketID,IssuerID
AAV,03687A209,"$966,753,000.00 ",21.14,-20.59%,"92,546.00",$0.25 ,0.76,T,03687A
AAV.ADR,03687A209,"$966,753,000.00 ",21.14,-20.59%,"92,546.00",$0.25 ,0.76,N,03687A
BIDU,567520108,"$81,320,000,000.00 ",43.41,40.89%,"2,374,076.00",$5.39 ,1.85,O,567520
BIDU.SI,567520108,"$81,320,000,000.00 ",43.41,40.89%,"2,374,076.00",$5.39 ,1.85,SG,567520
BMO,636710101,"$50,040,000,000.00 ",12.02,19.15%,"361,732.00",$6.41 ,1.12,T,636710
BMO.ADR,636710101,"$50,040,000,000.00 ",12.02,19.15%,"361,732.00",$6.41 ,1.12,N,636710
CMCSA,20030N101,"$173,770,000,000.00 ",18.73,9.26%,"24,256,907.00",$1.99 ,1.23,O,20030N
GOOG,02079K107,"$713,920,000,000.00 ",37,34.21%,"1,317,726.00",$27.59 ,0.99,O,02079K
GOOGL,02079K305,"$714,000,000,000.00 ",37.56,33.55%,"1,487,284.00",$27.59 ,0.96,O,02079K
HKXCY,43858F109,"$36,605,000,000.00 ",45.17,15.48%,"5,666.00",$0.66 ,1.06,HK,43858F
HKXCY.ADR,43858F109,"$36,605,000,000.00 ",45.17,15.48%,"5,666.00",$0.66 ,1.06,OTCM,43858F
IBM,459200101,"$138,545,000,000.00 ",12.48,-6.68%,"3,763,978.00",$11.99 ,0.96,N,459200
INFY,456788108,"$34,050,000,000.00 ",15.64,5.67%,"6,559,767.00",$0.95 ,0.13,IN,456788
INFY.ADR,456788108,"$34,050,000,000.00 ",15.64,5.67%,"6,559,767.00",$0.95 ,0.13,N,456788
MSFT,594918104,"$636,220,000,000.00 ",30.42,37.20%,"19,194,344.00",$2.71 ,1.45,O,594918
NWS,652487703,"$8,920,000,000.00 ",,25.91%,"460,329.00",($1.13),1.85,N,652487
NWS.A,652487802,"$8,920,000,000.00 ",,27.04%,"1,784,918.00",($1.27),2.08,N,652487
TWTR,90184L102,"$14,730,000,000.00 ",,7.62%,"15,785,580.00",($0.63),1.31,N,90184L
UA,904311206,"$5,140,000,000.00 ",22.49,-56.87%,"5,093,247.00",$0.49 ,,N,904311
UAA,904311107,"$5,160,000,000.00 ",25.12,-62.15%,"6,080,270.00",$0.49 ,,N,904311
